iter	PRAUC	Logloss
108	0.9678252786	0.2289385489
109	0.9681435588	0.2282647213
110	0.9683568152	0.2276848783
111	0.968593064	0.2267617237
112	0.9687017205	0.2262511347
113	0.9688146997	0.2258127426
114	0.9689382905	0.2252866797
115	0.969073401	0.2249157363
116	0.9694527077	0.2235331948
117	0.9697832649	0.2228044105
118	0.9699387013	0.2220928861
119	0.9700942641	0.2211852314
120	0.9702502892	0.2207162049
121	0.9704540451	0.2202532251
122	0.9706332556	0.2196790448
123	0.9707002449	0.2194742522
124	0.9708459673	0.2187275236
125	0.9712936318	0.2177496781
126	0.9713817748	0.217437479
127	0.9715217216	0.2170651367
128	0.9716660771	0.2162927805
129	0.9717106364	0.2161184657
130	0.9719443227	0.2155455527
131	0.9721537252	0.2148603884
132	0.9724500372	0.2141443588
133	0.9725986178	0.2134296768
134	0.9727510847	0.2126279687
135	0.9728988057	0.2118864343
136	0.9730426901	0.21161135
137	0.9732907854	0.2108041934
138	0.9735567497	0.2099630477
139	0.9737367434	0.2093067206
140	0.9738370599	0.2088268818
141	0.9739941932	0.2081563266
142	0.9740578541	0.2077158867
143	0.9742924793	0.2069434973
144	0.9743378424	0.2066588526
145	0.9745466375	0.2059770788
146	0.9746051651	0.2057836722
147	0.9748125672	0.2050124789
148	0.975035344	0.2042228066
149	0.9751824757	0.2037679027
150	0.9752385563	0.2033645004
151	0.9754131776	0.2025883451
152	0.975526892	0.2021261615
153	0.9756815682	0.2012754758
154	0.9758897003	0.2006607919
155	0.97614136	0.1997138037
156	0.9762133501	0.1992727697
157	0.9764141959	0.1986421221
158	0.9766213046	0.1979756187
159	0.9768822878	0.1968444054
160	0.9771615572	0.1957591795
161	0.9772813027	0.1952984109
162	0.97749637	0.1943753682
163	0.9776722204	0.1938029849
164	0.9778021023	0.193595481
165	0.9782188798	0.1921481045
166	0.9783343626	0.191486096
167	0.9786831504	0.1902905934
168	0.978852506	0.1893993813
169	0.9789841235	0.1886640023
170	0.9791962633	0.1879557171
171	0.9793050772	0.1876792015
172	0.9795357585	0.1871759149
173	0.9797295464	0.1862526515
174	0.9798833297	0.1853072197
175	0.9800139237	0.1847393757
176	0.9803815769	0.1839037323
177	0.9807595634	0.1831997469
178	0.9808418984	0.1828421436
179	0.9809612547	0.1820346131
180	0.981098451	0.1811764336
181	0.9812391706	0.1803443168
182	0.981334278	0.1795072769
183	0.9814817944	0.1787261295
184	0.9815803914	0.1779793902
185	0.9817070964	0.1773680806
186	0.9819668549	0.1766716907
187	0.9822205569	0.1758490772
188	0.9824322755	0.1751291132
189	0.9826251882	0.1742260209
190	0.9828085426	0.1737132539
191	0.9830052817	0.1730808802
192	0.9831150318	0.1725207607
193	0.9833427838	0.1718722289
194	0.9835400877	0.1710845689
195	0.9836395041	0.1705491844
196	0.9838099542	0.1697240576
197	0.9840045006	0.1687199261
198	0.9841969206	0.1678920937
199	0.9844484643	0.1668133673
200	0.9845779227	0.1662195696
201	0.984656092	0.1656853707
202	0.9848640044	0.1648409062
203	0.9850000375	0.1641636079
204	0.9851404654	0.1632769872
205	0.9852974729	0.1627725208
206	0.9854307241	0.1622065851
207	0.9855242364	0.1616344437
208	0.9856797527	0.1608730623
209	0.9857678219	0.1603170042
210	0.9859087931	0.1598312005
211	0.9860306904	0.1592106734
212	0.9861578107	0.1587029411
213	0.9863090637	0.1579109199
214	0.9864200483	0.1573318187
215	0.986468391	0.1569368367
216	0.986558369	0.1563737366
217	0.986658553	0.1557145562
218	0.9868591686	0.1546652124
219	0.9870354145	0.15385659
220	0.9871360599	0.1532754717
221	0.9873035673	0.1524298421
222	0.9874787056	0.1516458663
223	0.9876311493	0.151180496
224	0.9877605792	0.1507294303
225	0.987944997	0.1499544186
226	0.9880045504	0.1495944893
227	0.9881378616	0.1490515426
228	0.9882883158	0.1485037494
229	0.9884171627	0.1479311869
230	0.9885418036	0.147263386
231	0.9886774157	0.1461926736
232	0.9888706322	0.1456328828
233	0.989022487	0.1447692923
234	0.9891230892	0.1442216586
235	0.9892250227	0.1435108071
236	0.9894314586	0.1427056692
237	0.9894759852	0.142471631
238	0.989588906	0.1421247732
239	0.9896753476	0.1415858555
240	0.9898852549	0.1408296523
241	0.9899946896	0.1401666982
242	0.9901196	0.1395529214
243	0.9902383649	0.138744096
244	0.9904014335	0.1381030296
245	0.9904334653	0.1379106701
246	0.9904695327	0.1376508152
247	0.9905231778	0.1372918742
248	0.9906078858	0.1367320804
249	0.9907294767	0.1360174243
250	0.9908259292	0.1354909675
251	0.9908663849	0.1352543579
252	0.9909495246	0.1347149158
253	0.9910175147	0.1341576892
254	0.9910758047	0.1336382685
255	0.991148309	0.1332000824
256	0.9911804831	0.1328651791
257	0.9912412264	0.1323148121
258	0.9913360999	0.1316772069
259	0.9914597863	0.1312225545
260	0.9915664716	0.1305561606
261	0.9916526911	0.1300303495
262	0.9917105553	0.1296368177
263	0.9917730176	0.129106255
264	0.991811242	0.1288669177
265	0.9918951085	0.1284913876
266	0.9919981866	0.1278780338
