cluster,reimb_amt_log,deductible_share,dx_count,px_count,z_op_reimb,dup_exact_flag,dup_near_count,overcharge_z_flag,overcharge_iqr_flag,reimb_amt,deductible_paid,n
38,3.713572066704308,0.0,1.0,0.0,-0.502188792685886,0.0,0.0,0.0,0.0,40.0,0.0,1909
16,2.3978952727983707,0.0,1.0,0.0,-0.39484677297130627,0.0,0.0,0.0,0.0,10.0,0.0,1890
24,3.4339872044851463,0.0,2.0,0.0,-0.41156510262097235,0.0,0.0,0.0,0.0,30.0,0.0,1878
46,4.110873864173311,0.0,1.0,0.0,-0.3505255783776161,0.0,0.0,0.0,0.0,60.0,0.0,1855
29,4.61512051684126,0.0,2.0,0.0,-0.36516983397699476,0.0,0.0,0.0,0.0,100.0,0.0,1847
50,4.61512051684126,0.0,1.0,0.0,-0.3041006288036594,0.0,0.0,0.0,0.0,100.0,0.0,1779
17,2.3978952727983707,0.0,1.0,0.0,-0.44226923799734746,0.0,0.0,0.0,0.0,10.0,0.0,1779
40,3.9318256327243257,0.0,1.0,0.0,-0.47935229956773745,0.0,0.0,0.0,0.0,50.0,0.0,1748
19,3.044522437723423,0.0,2.0,0.0,-0.4269171703091599,0.0,0.0,0.0,0.0,20.0,0.0,1698
53,4.2626798770413155,0.0,1.0,0.0,-0.35015683186822205,0.0,0.0,0.0,0.0,70.0,0.0,1660
42,3.9318256327243257,0.0,1.0,0.0,-0.3808609672445972,0.0,0.0,0.0,0.0,50.0,0.0,1658
0,0.0,,2.0,0.0,-0.48981629585716735,0.0,0.0,0.0,0.0,0.0,0.0,1608
27,3.713572066704308,0.0,2.0,0.0,-0.39621303493278476,0.0,0.0,0.0,0.0,40.0,0.0,1599
35,3.4339872044851463,0.0,1.0,0.0,-0.5250252858040345,0.0,0.0,0.0,0.0,30.0,0.0,1598
9,4.110873864173311,0.0,7.0,0.0,-0.3969558175374665,0.0,0.0,0.0,0.0,60.0,0.0,1556
48,5.303304908059076,0.0,1.0,0.0,-0.025513904258663185,0.0,0.0,0.0,0.0,200.0,0.0,1374
15,2.3978952727983707,0.0,1.0,0.0,-0.5706982720403316,0.0,0.0,0.0,0.0,10.0,0.0,1371
34,4.2626798770413155,0.0,2.0,0.0,-0.3348047641800345,0.0,0.0,0.0,0.0,70.0,0.0,1366
2,0.0,,1.0,0.0,-0.457621305685535,0.0,0.0,0.0,0.0,0.0,0.0,1340
25,3.044522437723423,0.0,1.0,0.0,-0.547861778922183,0.0,0.0,0.0,0.0,20.0,0.0,1316
32,4.61512051684126,0.0,2.0,0.0,-0.25766510005791526,0.0,0.0,0.0,0.0,100.0,0.0,1311
1,0.0,,1.0,0.0,-0.5935347651584801,0.0,0.0,0.0,0.0,0.0,0.0,1298
49,5.707110264748875,0.0,1.0,0.0,0.09156002838597606,0.0,0.0,0.0,0.0,300.0,0.0,1269
11,2.3978952727983707,0.0,2.0,0.0,-0.39484677297130627,0.0,0.0,0.0,0.0,10.0,0.0,1256
51,4.394449154672439,0.0,1.0,0.0,-0.3348047641800345,0.0,0.0,0.0,0.0,80.0,0.0,1247
37,5.303304908059076,0.0,1.0,0.0,-0.28309829858416224,0.0,0.0,0.0,0.0,200.0,0.0,1240
31,4.110873864173311,0.0,2.0,0.0,-0.3505255783776161,0.0,0.0,0.0,0.0,60.0,0.0,1202
28,3.9318256327243257,0.0,2.0,0.0,-0.3808609672445972,0.0,0.0,0.0,0.0,50.0,0.0,1134
33,4.61512051684126,0.0,2.0,0.0,-0.3041006288036594,0.0,0.0,0.0,0.0,100.0,0.0,1118
8,4.2626798770413155,0.0,8.0,0.0,-0.3962827793638857,0.0,0.0,0.0,0.0,70.0,0.0,1060
18,2.3978952727983707,0.0,1.0,0.0,-0.4666011762772421,0.0,0.0,0.0,0.0,10.0,0.0,1050
20,3.044522437723423,0.0,3.0,0.0,-0.4269171703091599,0.0,0.0,0.0,0.0,20.0,0.0,1018
13,2.3978952727983707,0.0,4.0,0.0,-0.44226923799734746,0.0,0.0,0.0,0.0,10.0,0.0,955
45,4.110873864173311,0.0,1.0,0.0,-0.2934478890413422,0.0,0.0,0.0,0.0,60.0,0.0,952
