fraud_type,cluster,n,dup_share,short_ip_share,op_highpay_share,zero_paid_share,dx_med,px_med
mixed,20,1103,0.0,0.0,0.0,0.0,4.0,0.0
mixed,51,1100,0.0,0.0,0.0,0.0,4.0,0.0
mixed,68,1094,0.0,0.0,0.0,0.0,2.0,0.0
mixed,77,1085,0.0,0.0,0.0,0.0,10.0,1.0
mixed,53,1078,0.0,0.0,0.0,0.0,4.0,0.0
mixed,57,1062,0.0,0.0,0.0,0.0,8.0,0.0
mixed,50,1047,0.0,0.0,0.0,0.0,4.0,0.0
mixed,48,1009,0.0,0.0,0.0,0.0,4.0,0.0
mixed,92,975,0.0,0.0,0.0,0.0,1.0,0.0
mixed,86,903,0.0,0.0,0.0,0.0,4.0,0.0
mixed,45,897,0.0,0.0,0.0,0.0,10.0,0.0
mixed,55,867,0.0,0.0,0.0,0.0,4.0,0.0
mixed,58,846,0.0,0.0,0.0,0.0,4.0,0.0
mixed,76,817,0.0,0.0,0.0,0.0,8.0,1.0
mixed,100,813,0.0,0.0,0.0,0.0,9.0,0.0
mixed,59,797,0.0,0.0,0.0,0.0,4.0,0.0
mixed,88,791,0.0,0.0,0.0,0.0,4.0,0.0
mixed,89,780,0.0,0.0,0.0,0.0,4.0,0.0
mixed,56,767,0.0,0.0,0.0,0.0,8.0,0.0
mixed,93,747,0.0,0.0,0.0,0.0,1.0,0.0
mixed,101,731,0.0,0.0,0.0,0.0,9.0,0.0
mixed,99,721,0.0,0.0,0.0,0.0,9.0,0.0
mixed,82,719,0.0,0.0,0.0,0.0,5.0,0.0
mixed,87,708,0.0,0.0,0.0,0.0,4.0,0.0
mixed,70,682,0.0,0.0,0.0,0.0,2.0,0.0
mixed,94,660,0.0,0.0,0.0,0.0,1.0,0.0
mixed,102,586,0.0,0.0,0.0,0.0,9.0,0.0
mixed,75,576,0.0,0.0,0.0,0.0,7.0,1.0
mixed,79,550,0.0,0.0,0.0,0.0,5.0,0.0
mixed,66,547,0.0,0.0,0.0,0.0,7.0,0.0
mixed,72,542,0.0,0.0,0.0,0.0,3.0,0.0
mixed,18,533,0.0,0.0,0.0,0.0,5.0,0.0
op_highpay,9,1835,0.0,0.0,1.0,0.0,1.0,0.0
op_highpay,10,1604,0.0,0.0,1.0,0.0,2.0,0.0
op_highpay,11,1367,0.0,0.0,1.0,0.0,3.0,0.0
op_highpay,8,1171,0.0,0.0,1.0,0.0,4.0,0.0
op_highpay,7,903,0.0,0.0,1.0,0.0,5.0,0.0
zero_paid,4,2645,0.0,0.0,0.0,1.0,1.0,0.0
zero_paid,6,1610,0.0,0.0,0.0,1.0,2.0,0.0
zero_paid,5,984,0.0,0.0,0.0,1.0,3.0,0.0
zero_paid,3,691,0.0,0.0,0.0,1.0,4.0,0.0
zero_paid,1,637,0.0,0.0,0.0,1.0,9.0,0.0
zero_paid,2,589,0.0,0.0,0.0,1.0,5.0,0.0
